State Abbreviation,Region
AL,Atlanta
FL,Atlanta
GA,Atlanta
NC,Atlanta
SC,Atlanta
VA,Atlanta
WV,Atlanta
IL,Chicago
IN,Chicago
KY,Chicago
MI,Chicago
OH,Chicago
WI,Chicago
AR,Dallas
CO,Dallas
LA,Dallas
MS,Dallas
NM,Dallas
OK,Dallas
TN,Dallas
TX,Dallas
IA,Kansas City
KS,Kansas City
MN,Kansas City
MO,Kansas City
ND,Kansas City
NE,Kansas City
SD,Kansas City
CT,New York
DC,New York
DE,New York
MA,New York
MD,New York
ME,New York
NH,New York
NJ,New York
NY,New York
PA,New York
PR,New York
RI,New York
VI,New York
VT,New York
AK,San Francisco
AS,San Francisco
AZ,San Francisco
CA,San Francisco
FM,San Francisco
GU,San Francisco
HI,San Francisco
ID,San Francisco
MT,San Francisco
NV,San Francisco
OR,San Francisco
UT,San Francisco
WA,San Francisco
WY,San Francisco
